"correct","time_1","double_response","time_2"
TRUE,0.52,FALSE,NA
FALSE,0.3882,FALSE,NA
TRUE,0.6677,FALSE,NA
TRUE,0.7637,FALSE,NA
TRUE,0.7765,FALSE,NA
TRUE,0.5665,FALSE,NA
TRUE,0.6778,FALSE,NA
TRUE,0.682,FALSE,NA
TRUE,0.5128,FALSE,NA
TRUE,0.6775,FALSE,NA
TRUE,0.6487,FALSE,NA
TRUE,0.6583,FALSE,NA
TRUE,0.7596,FALSE,NA
FALSE,0.7271,FALSE,NA
TRUE,1.0734,FALSE,NA
TRUE,0.7059,FALSE,NA
TRUE,0.5216,FALSE,NA
TRUE,0.8443,FALSE,NA
TRUE,0.6196,FALSE,NA
TRUE,0.6836,FALSE,NA
TRUE,0.8913,FALSE,NA
TRUE,0.7619,FALSE,NA
FALSE,0.7225,FALSE,NA
TRUE,1.1071,FALSE,NA
TRUE,0.8526,FALSE,NA
TRUE,0.6848,FALSE,NA
TRUE,0.5264,FALSE,NA
TRUE,0.4657,FALSE,NA
TRUE,0.8059,FALSE,NA
TRUE,0.5111,FALSE,NA
TRUE,0.9165,FALSE,NA
TRUE,0.8134,FALSE,NA
TRUE,0.592,FALSE,NA
TRUE,0.6092,FALSE,NA
TRUE,0.7118,FALSE,NA
TRUE,0.4903,FALSE,NA
TRUE,0.5658,FALSE,NA
TRUE,0.6482,FALSE,NA
TRUE,0.6611,FALSE,NA
TRUE,0.5347,FALSE,NA
FALSE,0.6896,FALSE,NA
TRUE,0.8887,FALSE,NA
TRUE,0.7543,FALSE,NA
TRUE,0.5208,FALSE,NA
TRUE,0.7264,FALSE,NA
TRUE,0.5303,FALSE,NA
TRUE,0.6233,FALSE,NA
TRUE,0.6577,FALSE,NA
TRUE,0.6694,FALSE,NA
TRUE,0.8931,FALSE,NA
FALSE,0.816,FALSE,NA
TRUE,0.6729,FALSE,NA
TRUE,0.716,FALSE,NA
TRUE,0.7938,FALSE,NA
TRUE,0.9293,FALSE,NA
TRUE,0.6977,FALSE,NA
TRUE,0.444,FALSE,NA
FALSE,0.8079,FALSE,NA
TRUE,1.1979,FALSE,NA
TRUE,0.88,FALSE,NA
TRUE,0.7955,FALSE,NA
TRUE,0.7626,FALSE,NA
TRUE,0.6074,FALSE,NA
TRUE,0.6628,FALSE,NA
TRUE,0.7321,FALSE,NA
TRUE,0.6567,FALSE,NA
TRUE,0.607,FALSE,NA
TRUE,0.8879,FALSE,NA
TRUE,0.4397,FALSE,NA
TRUE,0.4825,FALSE,NA
TRUE,0.6545,FALSE,NA
TRUE,0.8966,FALSE,NA
TRUE,1.0796,FALSE,NA
TRUE,0.5906,FALSE,NA
TRUE,0.5046,FALSE,NA
FALSE,0.6264,FALSE,NA
TRUE,0.9247,FALSE,NA
TRUE,0.7251,FALSE,NA
TRUE,0.6083,FALSE,NA
TRUE,0.4921,FALSE,NA
TRUE,0.7775,FALSE,NA
TRUE,0.5612,FALSE,NA
TRUE,0.7672,FALSE,NA
TRUE,0.716,FALSE,NA
TRUE,0.804,FALSE,NA
TRUE,0.7016,FALSE,NA
TRUE,0.8183,FALSE,NA
TRUE,0.7109,FALSE,NA
TRUE,0.8442,FALSE,NA
TRUE,0.6449,FALSE,NA
TRUE,0.8722,FALSE,NA
TRUE,0.8463,FALSE,NA
TRUE,0.5184,FALSE,NA
TRUE,0.7315,FALSE,NA
TRUE,0.5169,FALSE,NA
TRUE,0.8102,FALSE,NA
