subject,condition,trial,rt,response,observed
0,Deadline,0,0.801798819,1,1
0,Deadline,1,0.534900407,0,1
0,Deadline,2,0.668553969,0,1
0,Deadline,3,0.851783409,1,1
0,Deadline,4,0.684997559,0,1
0,Deadline,5,0.751748122,1,1
0,Deadline,6,0.601761449,1,1
0,Deadline,7,0.735113155,1,1
0,Deadline,8,0.471869915,0,1
0,Deadline,9,0.51848489,1,1
0,Deadline,10,0.418349688,1,1
0,Deadline,11,0.43520984,0,1
0,Deadline,12,0.768439234,0,1
0,Deadline,13,0.485136775,1,1
0,Deadline,14,0.635094772,0,1
0,Deadline,15,0.551575521,0,1
0,Deadline,16,0.468452606,1,1
0,Deadline,17,0.685177164,0,1
0,Deadline,18,0.484957775,0,1
0,Deadline,19,0.685195275,1,1
0,Deadline,20,0.751661489,0,1
0,Deadline,21,0.584833984,1,1
0,Deadline,22,0.751795211,0,1
0,Deadline,23,0.635102319,1,1
0,Deadline,24,0.81841507,1,1
0,Deadline,25,0.651833879,0,1
0,Deadline,26,0.718284095,1,1
0,Deadline,27,0.551842059,0,1
0,Deadline,28,0.635156049,1,1
0,Deadline,29,0.551500661,1,1
0,Deadline,30,0.668481524,0,1
0,Deadline,31,0.635154841,0,1
0,Deadline,32,0.785149061,0,1
0,Deadline,33,0.568462235,1,1
0,Deadline,34,0.685140639,1,1
0,Deadline,35,0.685186219,1,1
0,Deadline,36,0.651507271,0,1
0,Deadline,37,0.701535329,1,1
0,Deadline,38,0.635138843,1,1
0,Deadline,39,0.61826692,1,1
0,Deadline,40,0.535036242,0,1
0,Deadline,41,0.65176083,0,1
0,Deadline,42,0.8018121,1,1
0,Deadline,43,0.855208868,1,1
0,Deadline,44,0.551826061,1,1
0,Deadline,45,0.601832083,0,1
0,Deadline,46,0.78491301,1,1
0,Deadline,47,0.635076661,1,1
0,Deadline,48,0.718469435,1,1
0,Deadline,49,0.901789129,1,1
0,Deadline,50,0.768480588,1,1
0,Deadline,51,0.735166584,1,1
0,Deadline,52,0.535256899,1,1
0,Deadline,53,0.751669639,1,1
0,Deadline,54,0.618484558,1,1
0,Deadline,55,0.651794034,0,1
0,Deadline,56,0.668492089,1,1
0,Deadline,57,1.051735655,1,1
0,Deadline,58,0.768431687,0,1
0,Deadline,59,0.48491461,1,1
0,Deadline,60,0.601780768,1,1
0,Deadline,61,0.735123418,1,1
0,Deadline,62,0.7851717,1,1
0,Deadline,63,1.035086199,1,1
0,Deadline,64,0.418363272,1,1
0,Deadline,65,0.485109608,0,1
0,Deadline,66,0.501596062,0,1
0,Deadline,67,0.451527858,0,1
0,Deadline,68,0.6184426,1,1
0,Deadline,69,0.6183288,1,1
0,Deadline,70,0.635189857,1,1
0,Deadline,71,0.65182422,0,1
0,Deadline,72,0.668462809,0,1
0,Deadline,73,0.935014086,1,1
0,Deadline,74,0.551844776,1,1
0,Deadline,75,0.601799181,1,1
0,Deadline,76,0.718489659,0,1
0,Deadline,77,0.501754235,1,1
0,Deadline,78,0.885179216,1,1
0,Deadline,79,0.50180223,0,1
0,Deadline,80,0.434863007,1,1
0,Deadline,81,0.468325525,1,1
0,Deadline,82,0.768037464,0,1
0,Deadline,83,0.485159113,0,1
0,Deadline,84,0.668473977,1,1
0,Deadline,85,0.718463397,1,1
0,Deadline,86,0.601776844,1,1
0,Deadline,87,0.785186491,0,1
0,Deadline,88,0.601833592,1,1
0,Deadline,89,0.551879791,1,1
0,Deadline,90,0.601739413,1,1
0,Deadline,91,0.651830257,1,1
0,Deadline,92,0.585125878,1,1
0,Deadline,93,0.851814198,0,1
0,Deadline,94,0.785179548,1,1
0,Deadline,95,0.768504435,1,1
0,Deadline,96,1.101765222,1,1
0,Deadline,97,0.734771756,0,1
0,Deadline,98,0.601791634,1,1
0,Deadline,99,0.685133093,1,1
0,Deadline,100,0.785091406,1,1
0,Deadline,101,0.801844097,1,1
0,Deadline,102,0.834712261,0,1
0,Deadline,103,0.568167322,1,1
0,Deadline,104,0.685169315,1,1
0,Deadline,105,0.568342399,0,1
0,Deadline,106,0.551747579,0,1
0,Deadline,107,0.784802832,0,1
0,Deadline,108,0.868408716,0,1
0,Deadline,109,0.601753601,0,1
0,Deadline,110,0.535150042,1,1
0,Deadline,111,0.551549561,0,1
0,Deadline,112,0.785097745,1,1
0,Deadline,113,0.934914172,1,1
0,Deadline,114,0.651766263,1,1
0,Deadline,115,0.635112883,0,1
0,Deadline,116,0.534628133,1,1
0,Deadline,117,0.718480905,0,1
0,Deadline,118,0.568502382,1,1
0,Deadline,119,0.551817005,0,1
0,Deadline,120,0.818418994,0,1
0,Deadline,121,0.635074246,0,1
0,Deadline,122,0.535202565,1,1
0,Deadline,123,0.518361431,1,1
0,Deadline,124,0.485113834,0,1
0,Deadline,125,0.468150147,1,1
0,Deadline,126,0.685087513,1,1
0,Deadline,127,0.651792827,0,1
0,Deadline,128,0.63505704,0,1
0,Deadline,129,0.685073627,0,1
0,Deadline,130,0.685065779,1,1
0,Deadline,131,0.901773734,1,1
0,Deadline,132,0.535088463,1,1
0,Deadline,133,0.751567008,0,1
0,Deadline,134,0.968287944,0,1
0,Deadline,135,0.75172337,1,1
0,Deadline,136,0.785087482,1,1
0,Deadline,137,0.835066035,0,1
0,Deadline,138,0.868415961,1,1
0,Deadline,139,0.685148487,0,1
0,Deadline,140,0.835115842,0,1
