"subject","condition","rt","response","observed"
"as1t","accuracy",0.4319,1,1
"as1t","accuracy",0.4809,1,1
"as1t","accuracy",0.3415,1,1
"as1t","accuracy",0.3683,1,1
"as1t","accuracy",0.371,1,1
"as1t","accuracy",0.3111,0,1
"as1t","accuracy",0.4169,1,1
"as1t","accuracy",0.4826,1,1
"as1t","accuracy",0.3803,1,1
"as1t","accuracy",0.4716,1,1
"as1t","accuracy",0.4693,1,1
"as1t","accuracy",0.4872,0,1
"as1t","accuracy",0.4181,1,1
"as1t","accuracy",0.321,0,1
"as1t","accuracy",0.4112,1,1
"as1t","accuracy",0.3927,1,1
"as1t","accuracy",0.4873,1,1
"as1t","accuracy",0.5369,1,1
"as1t","accuracy",0.6087,0,1
"as1t","accuracy",0.5971,0,1
"as1t","accuracy",0.4569,1,1
"as1t","accuracy",0.483,1,1
"as1t","accuracy",0.4539,1,1
"as1t","accuracy",0.4926,1,1
"as1t","accuracy",0.4755,1,1
"as1t","accuracy",0.6957,1,1
"as1t","accuracy",0.5289,1,1
"as1t","accuracy",0.5636,0,1
"as1t","accuracy",0.4236,1,1
"as1t","accuracy",0.4592,1,1
"as1t","accuracy",0.4789,1,1
"as1t","accuracy",0.4513,1,1
"as1t","accuracy",0.4731,1,1
"as1t","accuracy",0.5573,1,1
"as1t","accuracy",0.4019,1,1
"as1t","accuracy",0.4297,1,1
"as1t","accuracy",0.4747,1,1
"as1t","accuracy",0.4237,1,1
"as1t","accuracy",0.5952,1,1
"as1t","accuracy",0.3472,0,1
"as1t","accuracy",0.3772,1,1
"as1t","accuracy",0.4528,1,1
"as1t","accuracy",0.3655,1,1
"as1t","accuracy",0.3399,1,1
"as1t","accuracy",0.3841,1,1
"as1t","accuracy",0.4601,1,1
"as1t","accuracy",0.3923,1,1
"as1t","accuracy",0.6388,1,1
"as1t","accuracy",0.4178,0,1
"as1t","accuracy",0.7814,0,1
"as1t","accuracy",0.3542,0,1
"as1t","accuracy",0.4646,0,1
"as1t","accuracy",0.4665,1,1
"as1t","accuracy",0.4583,1,1
"as1t","accuracy",0.4857,1,1
"as1t","accuracy",0.6528,1,1
"as1t","accuracy",0.4201,1,1
"as1t","accuracy",0.4592,0,1
"as1t","accuracy",0.3632,0,1
"as1t","accuracy",0.5256,0,1
"as1t","accuracy",0.5513,1,1
"as1t","accuracy",0.525,1,1
"as1t","accuracy",0.4299,1,1
"as1t","accuracy",0.4517,1,1
"as1t","accuracy",0.4336,1,1
"as1t","accuracy",0.409,1,1
"as1t","accuracy",0.6233,1,1
"as1t","accuracy",0.4498,1,1
"as1t","accuracy",0.498,1,1
"as1t","accuracy",0.4112,1,1
"as1t","accuracy",0.5044,1,1
"as1t","accuracy",0.4332,1,1
"as1t","accuracy",0.4699,1,1
"as1t","accuracy",0.4536,1,1
"as1t","accuracy",0.6896,0,1
"as1t","accuracy",0.3519,1,1
"as1t","accuracy",0.4011,1,1
"as1t","accuracy",0.3586,1,1
"as1t","accuracy",0.3367,1,1
"as1t","accuracy",0.5583,1,1
"as1t","accuracy",0.4591,1,1
"as1t","accuracy",0.4927,1,1
"as1t","accuracy",0.4957,1,1
"as1t","accuracy",0.5469,0,1
"as1t","accuracy",0.4361,1,1
"as1t","accuracy",0.4367,1,1
"as1t","accuracy",0.4819,0,1
"as1t","accuracy",0.5692,1,1
"as1t","accuracy",0.4472,1,1
"as1t","accuracy",0.3882,1,1
"as1t","accuracy",0.4852,0,1
"as1t","accuracy",0.3567,1,1
"as1t","accuracy",0.3609,1,1
"as1t","accuracy",0.4162,1,1
"as1t","accuracy",0.422,1,1
"as1t","accuracy",0.6428,0,1
"as1t","accuracy",0.4642,1,1
"as1t","accuracy",0.4315,0,1
"as1t","accuracy",0.6628,0,1
"as1t","accuracy",0.5548,1,1
"as1t","accuracy",0.4277,1,1
"as1t","accuracy",0.4767,0,1
"as1t","accuracy",0.7544,1,1
"as1t","accuracy",0.5793,1,1
"as1t","accuracy",0.5217,1,1
"as1t","accuracy",0.4692,1,1
"as1t","accuracy",0.4178,1,1
"as1t","accuracy",0.5551,1,1
"as1t","accuracy",0.716,1,1
"as1t","accuracy",0.4019,1,1
"as1t","accuracy",0.4796,1,1
"as1t","accuracy",0.4081,1,1
"as1t","accuracy",0.4416,1,1
"as1t","accuracy",0.4569,1,1
"as1t","accuracy",0.4656,0,1
"as1t","accuracy",0.4445,1,1
"as1t","accuracy",0.7759,1,1
"as1t","accuracy",0.4904,1,1
"as1t","accuracy",0.6866,1,1
"as1t","accuracy",0.5258,1,1
"as1t","accuracy",0.4929,1,1
"as1t","accuracy",0.4555,0,1
"as1t","accuracy",0.7106,1,1
"as1t","accuracy",0.474,1,1
"as1t","accuracy",0.4638,1,1
"as1t","accuracy",0.4268,1,1
"as1t","accuracy",0.3693,1,1
"as1t","accuracy",0.4743,1,1
"as1t","accuracy",0.3053,1,1
"as1t","accuracy",0.5724,1,1
"as1t","accuracy",0.5888,0,1
"as1t","accuracy",0.3697,1,1
"as1t","accuracy",0.9912,1,1
"as1t","accuracy",0.522,1,1
"as1t","accuracy",0.5423,0,1
"as1t","accuracy",0.5496,1,1
"as1t","accuracy",0.4215,1,1
"as1t","accuracy",0.4514,1,1
"as1t","accuracy",0.5575,1,1
"as1t","accuracy",0.5047,1,1
"as1t","accuracy",0.572,1,1
"as1t","accuracy",0.4058,0,1
"as1t","accuracy",0.4428,1,1
"as1t","accuracy",0.4054,1,1
"as1t","accuracy",0.6998,1,1
"as1t","accuracy",0.4227,0,1
"as1t","accuracy",0.5025,1,1
"as1t","accuracy",0.4498,1,1
"as1t","accuracy",0.4057,1,1
"as1t","accuracy",0.5861,1,1
"as1t","accuracy",0.5818,1,1
"as1t","accuracy",0.4194,1,1
"as1t","accuracy",0.7011,1,1
"as1t","accuracy",0.5871,1,1
"as1t","accuracy",0.3871,1,1
"as1t","accuracy",0.3981,1,1
"as1t","accuracy",0.3372,1,1
"as1t","accuracy",0.535,1,1
"as1t","accuracy",0.4163,0,1
"as1t","accuracy",0.6016,1,1
"as1t","accuracy",0.3953,1,1
"as1t","accuracy",0.644,1,1
"as1t","accuracy",0.4528,0,1
"as1t","accuracy",0.4424,1,1
"as1t","accuracy",0.6872,1,1
"as1t","accuracy",0.2793,1,1
"as1t","accuracy",0.3589,0,1
"as1t","accuracy",0.4821,1,1
"as1t","accuracy",0.383,1,1
"as1t","accuracy",0.6683,1,1
"as1t","accuracy",0.3091,1,1
"as1t","accuracy",0.449,0,1
"as1t","accuracy",0.466,1,1
"as1t","accuracy",0.4097,1,1
"as1t","accuracy",0.4376,1,1
"as1t","accuracy",0.5079,1,1
"as1t","accuracy",0.373,1,1
"as1t","accuracy",0.5239,1,1
"as1t","accuracy",0.3462,1,1
"as1t","accuracy",0.4215,1,1
"as1t","accuracy",0.4393,0,1
"as1t","accuracy",0.3641,1,1
"as1t","accuracy",0.5782,1,1
"as1t","accuracy",0.4742,1,1
"as1t","accuracy",0.7236,1,1
"as1t","accuracy",0.4133,1,1
"as1t","accuracy",0.45,1,1
"as1t","accuracy",0.3239,0,1
"as1t","accuracy",0.3461,1,1
"as1t","accuracy",0.4319,0,1
"as1t","accuracy",0.6317,1,1
"as1t","accuracy",0.4133,1,1
"as1t","accuracy",0.4816,1,1
"as1t","accuracy",0.6091,0,1
"as1t","accuracy",0.4465,1,1
"as1t","accuracy",0.4116,1,1
"as1t","accuracy",0.3622,1,1
"as1t","accuracy",0.4238,0,1
"as1t","accuracy",0.5474,1,1
"as1t","accuracy",0.529,1,1
"as1t","accuracy",0.4499,1,1
"as1t","accuracy",0.4413,1,1
"as1t","accuracy",0.415,0,1
"as1t","accuracy",0.4393,1,1
"as1t","accuracy",0.4023,0,1
"as1t","accuracy",0.4981,1,1
"as1t","accuracy",0.318,1,1
"as1t","accuracy",0.2761,0,1
"as1t","accuracy",0.4339,1,1
"as1t","accuracy",0.4691,1,1
"as1t","accuracy",0.6631,1,1
"as1t","accuracy",0.4294,1,1
"as1t","accuracy",0.4148,1,1
"as1t","accuracy",0.3505,1,1
"as1t","accuracy",0.5933,1,1
"as1t","accuracy",0.4536,1,1
"as1t","accuracy",0.6098,1,1
"as1t","accuracy",0.4324,1,1
"as1t","accuracy",0.3244,0,1
"as1t","accuracy",0.4801,1,1
"as1t","accuracy",0.4968,1,1
"as1t","accuracy",0.3863,1,1
"as1t","accuracy",0.4068,0,1
"as1t","accuracy",0.4476,1,1
"as1t","accuracy",0.4166,0,1
"as1t","accuracy",0.7456,0,1
"as1t","accuracy",0.3937,1,1
"as1t","accuracy",0.4445,0,1
"as1t","accuracy",0.4728,1,1
"as1t","accuracy",0.7798,1,1
"as1t","accuracy",0.5139,1,1
"as1t","accuracy",0.4968,0,1
"as1t","accuracy",0.5038,1,1
"as1t","accuracy",0.6189,0,1
"as1t","accuracy",0.4711,1,1
"as1t","accuracy",0.5151,1,1
"as1t","accuracy",0.7922,1,1
"as1t","accuracy",0.4916,1,1
"as1t","accuracy",0.4699,0,1
"as1t","accuracy",0.6062,1,1
"as1t","accuracy",0.4861,1,1
"as1t","accuracy",0.5459,0,1
"as1t","accuracy",0.322,0,1
"as1t","accuracy",0.3241,1,1
"as1t","accuracy",0.3681,1,1
"as1t","accuracy",0.5574,0,1
"as1t","accuracy",0.45,1,1
"as1t","accuracy",0.5943,1,1
"as1t","accuracy",0.5103,1,1
"as1t","accuracy",0.4657,1,1
"as1t","accuracy",0.6355,1,1
"as1t","accuracy",0.5223,1,1
"as1t","accuracy",0.828,1,1
"as1t","accuracy",0.7599,1,1
"as1t","accuracy",0.464,1,1
"as1t","accuracy",0.4741,0,1
"as1t","accuracy",0.6497,1,1
"as1t","accuracy",0.5736,1,1
"as1t","accuracy",0.4697,1,1
"as1t","accuracy",0.5503,1,1
"as1t","accuracy",0.5183,1,1
"as1t","accuracy",0.4844,1,1
"as1t","accuracy",0.5294,1,1
"as1t","accuracy",0.6753,1,1
"as1t","accuracy",0.6472,1,1
"as1t","accuracy",0.4005,1,1
"as1t","accuracy",0.446,0,1
"as1t","accuracy",0.4357,1,1
"as1t","accuracy",0.4166,1,1
"as1t","accuracy",0.5086,1,1
"as1t","accuracy",0.6293,1,1
"as1t","accuracy",0.5093,1,1
"as1t","accuracy",0.6447,0,1
"as1t","accuracy",0.4244,1,1
"as1t","accuracy",0.5079,1,1
"as1t","accuracy",0.3801,1,1
"as1t","accuracy",0.4703,0,1
"as1t","accuracy",0.3485,0,1
"as1t","accuracy",0.6256,1,1
"as1t","accuracy",0.419,1,1
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
"as1t","accuracy",0,0,0
